llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo
90688003101.0,90688003,906880031,9,9,84,2,Mujer,1.0,1,Sí tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4187,0,0,0,0,0,0,0,0
90688004101.0,90688004,906880041,9,9,42,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,4158,0,0,0,0,0,0,1,0
90688005101.0,90688005,906880051,9,9,79,1,Hombre,3.0,2,No tiene discapacidad,5,14.75,14.75,0.0,0.0,0.0,0.0,0.0,0.0,4155,1,1,0,0,0,0,0,0
91634401101.0,91634401,916344011,9,9,60,1,Hombre,4.0,2,No tiene discapacidad,1,16.33333333333333,0.0,0.0,0.0,4.33333333333333,12.0,55.0,0.0,4189,1,0,0,0,1,1,1,0
91634401102.0,91634401,916344011,9,9,86,2,Mujer,2.0,2,No tiene discapacidad,5,11.0,0.0,0.0,0.0,5.66666666666666,5.33333333333333,0.0,0.0,4613,1,0,0,0,1,1,0,0
91634401103.0,91634401,916344011,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,8.5,0.0,0.0,0.0,4.5,4.0,49.0,0.0,4182,1,0,0,0,1,1,1,0
91634401104.0,91634401,916344011,9,9,24,2,Mujer,4.0,2,No tiene discapacidad,4,2.91666666666666,0.0,0.0,0.0,2.91666666666666,0.0,0.0,0.0,4231,1,0,0,0,1,0,0,0
91634402101.0,91634402,916344021,9,9,69,1,Hombre,4.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,4182,1,0,0,0,0,1,1,0
91634402102.0,91634402,916344021,9,9,75,2,Mujer,2.0,2,No tiene discapacidad,5,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4217,1,0,0,0,0,1,0,0
91634403101.0,91634403,916344031,9,9,59,2,Mujer,3.0,1,Sí tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4113,0,0,0,0,0,0,0,0
90727503101.0,90727503,907275031,9,9,72,2,Mujer,2.0,2,No tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3772,0,0,0,0,0,0,0,0
90727503102.0,90727503,907275031,9,9,38,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,3771,0,0,0,0,0,0,1,0
90727504101.0,90727504,907275041,9,9,50,2,Mujer,2.0,2,No tiene discapacidad,1,6.08333333333333,0.0,4.08333333333333,0.0,2.0,0.0,66.0,0.0,3740,1,0,1,0,1,0,1,0
90727504102.0,90727504,907275041,9,9,20,2,Mujer,3.0,2,No tiene discapacidad,1,77.83333333333333,3.66666666666666,62.0,0.0,12.16666666666666,0.0,66.0,0.0,3786,1,1,1,0,1,0,1,0
90727504103.0,90727504,907275041,9,9,19,2,Mujer,3.0,2,No tiene discapacidad,1,116.58333333333331,35.08333333333333,80.5,0.0,1.0,0.0,0.0,0.0,3782,1,1,1,0,1,0,0,0
90727504104.0,90727504,907275041,9,9,21,1,Hombre,3.0,2,No tiene discapacidad,1,43.0,0.0,43.0,0.0,0.0,0.0,66.0,0.0,3826,1,0,1,0,0,0,1,0
90671404102.0,90671404,906714041,9,9,46,2,Mujer,2.0,2,No tiene discapacidad,1,3.5,0.0,0.0,0.0,3.5,0.0,12.0,0.0,4594,1,0,0,0,1,0,1,0
90671404103.0,90671404,906714041,9,9,24,2,Mujer,4.0,2,No tiene discapacidad,1,0.83333333333333,0.0,0.0,0.0,0.83333333333333,0.0,44.0,0.0,4687,1,0,0,0,1,0,1,0
90671404104.0,90671404,906714041,9,9,18,2,Mujer,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4682,0,0,0,0,0,0,1,0
90671404105.0,90671404,906714041,9,9,16,1,Hombre,3.0,2,No tiene discapacidad,1,5.66666666666666,0.0,0.0,0.0,5.66666666666666,0.0,52.0,0.0,4699,1,0,0,0,1,0,1,0
90671405101.0,90671405,906714051,9,9,61,1,Hombre,2.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4641,0,0,0,0,0,0,1,0
90671405102.0,90671405,906714051,9,9,55,2,Mujer,2.0,2,No tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4556,0,0,0,0,0,0,0,0
90679301101.0,90679301,906793011,9,9,42,2,Mujer,3.0,2,No tiene discapacidad,5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4639,1,0,0,0,1,0,0,0
90688005102.0,90688005,906880051,9,9,77,2,Mujer,2.0,1,Sí tiene discapacidad,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4085,0,0,0,0,0,0,0,0
90688005103.0,90688005,906880051,9,9,52,2,Mujer,2.0,2,No tiene discapacidad,1,19.75,12.75,0.0,0.0,7.0,0.0,22.5,0.0,4049,1,1,0,0,1,0,1,0
90688005104.0,90688005,906880051,9,9,34,1,Hombre,3.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,4147,0,0,0,0,0,0,1,0
90688005105.0,90688005,906880051,9,9,24,2,Mujer,3.0,2,No tiene discapacidad,1,4.16666666666666,4.16666666666666,0.0,0.0,0.0,0.0,40.0,0.0,4099,1,1,0,0,0,0,1,0
90348505101.0,90348505,903485051,9,9,36,1,Hombre,4.0,2,No tiene discapacidad,1,2.0,0.0,0.0,2.0,0.0,0.0,72.0,0.0,3903,1,0,0,1,0,0,1,0
90348505102.0,90348505,903485051,9,9,30,2,Mujer,3.0,2,No tiene discapacidad,1,15.83333333333333,0.0,0.0,15.83333333333333,0.0,0.0,2.0,0.0,3852,1,0,0,1,0,0,1,0
90348505103.0,90348505,903485051,9,9,58,1,Hombre,2.0,2,No tiene discapacidad,1,3.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,3918,1,0,0,1,0,0,1,0
91634404101.0,91634404,916344041,9,9,37,1,Hombre,4.0,2,No tiene discapacidad,1,3.0,0.0,0.0,0.0,3.0,0.0,55.0,0.0,4214,1,0,0,0,1,0,1,0
91634404102.0,91634404,916344041,9,9,39,2,Mujer,4.0,2,No tiene discapacidad,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4154,0,0,0,0,0,0,0,0
91652201101.0,91652201,916522011,9,9,78,1,Hombre,4.0,1,Sí tiene discapacidad,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3972,0,0,0,0,0,0,0,0
91652201102.0,91652201,916522011,9,9,76,2,Mujer,2.0,2,No tiene discapacidad,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3905,0,0,0,0,0,0,0,0
91652203101.0,91652203,916522031,9,9,44,1,Hombre,3.0,2,No tiene discapacidad,1,5.0,0.0,0.0,0.0,5.0,0.0,45.0,0.0,3975,1,0,0,0,1,0,1,0
91652203102.0,91652203,916522031,9,9,47,2,Mujer,3.0,2,No tiene discapacidad,1,24.08333333333333,0.0,0.0,12.08333333333333,12.0,0.0,38.0,0.0,3840,1,0,0,1,1,0,1,0
91652203103.0,91652203,916522031,9,9,25,1,Hombre,4.0,2,No tiene discapacidad,1,1.0,0.0,0.0,1.0,0.0,0.0,40.0,0.0,3938,1,0,0,1,0,0,1,0
90738004101.0,90738004,907380041,9,9,32,2,Mujer,2.0,2,No tiene discapacidad,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4256,0,0,0,0,0,0,0,0
90738005101.0,90738005,907380051,9,9,46,2,Mujer,3.0,2,No tiene discapacidad,5,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4242,1,0,0,0,1,0,0,0
90738005102.0,90738005,907380051,9,9,48,1,Hombre,3.0,2,No tiene discapacidad,1,15.83333333333333,9.83333333333333,0.0,0.0,6.0,0.0,58.0,0.0,4338,1,1,0,0,1,0,1,0
90738005103.0,90738005,907380051,9,9,22,1,Hombre,4.0,2,No tiene discapacidad,4,2.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,4374,1,1,0,0,1,0,0,0
