llavemod,llaveviv,llavehog,cve_ent,cvegeo,edad,sexo,sexo_label,escolaridad,cond_disc,cond_disc_label,cond_aee,trab_no_rem_cuid_hog,cuid_esp_int_hog_sin_cp,cuid_int_0a5_sin_cp,cuid_int_6a14_sin_cp,cuid_int_15a59,cuid_int_60mas_sin_cp,trab_merc_pv,bus_trab,fac_per,realiza_cuidado_hogar,realiza_cuidado_especial,realiza_cuidado_0a5,realiza_cuidado_6a14,realiza_cuidado_15a59,realiza_cuidado_60mas,realiza_trabajo_mercado,busca_trabajo,es_cuidador,horas_cuidado,horas_trabajo,participa_laboral,combina_cuidado_trabajo
91634401102.0,91634401,916344011,9,9,86,2,Mujer,2.0,2,No tiene discapacidad,5,11.0,0.0,0.0,0.0,5.66666666666666,5.33333333333333,0.0,0.0,4613,1,0,0,0,1,1,0,0,1,11.0,0.0,0,0
91634401103.0,91634401,916344011,9,9,29,2,Mujer,4.0,2,No tiene discapacidad,1,8.5,0.0,0.0,0.0,4.5,4.0,49.0,0.0,4182,1,0,0,0,1,1,1,0,1,8.5,49.0,1,1
91634401104.0,91634401,916344011,9,9,24,2,Mujer,4.0,2,No tiene discapacidad,4,2.91666666666666,0.0,0.0,0.0,2.91666666666666,0.0,0.0,0.0,4231,1,0,0,0,1,0,0,0,1,2.91666666666666,0.0,0,0
91634402101.0,91634402,916344021,9,9,69,1,Hombre,4.0,2,No tiene discapacidad,1,7.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,4182,1,0,0,0,0,1,1,0,1,7.0,15.0,1,1
91634402102.0,91634402,916344021,9,9,75,2,Mujer,2.0,2,No tiene discapacidad,5,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4217,1,0,0,0,0,1,0,0,1,7.0,0.0,0,0
90727504101.0,90727504,907275041,9,9,50,2,Mujer,2.0,2,No tiene discapacidad,1,6.08333333333333,0.0,4.08333333333333,0.0,2.0,0.0,66.0,0.0,3740,1,0,1,0,1,0,1,0,1,6.08333333333333,66.0,1,1
90727504102.0,90727504,907275041,9,9,20,2,Mujer,3.0,2,No tiene discapacidad,1,77.83333333333333,3.66666666666666,62.0,0.0,12.16666666666666,0.0,66.0,0.0,3786,1,1,1,0,1,0,1,0,1,77.83333333333333,66.0,1,1
90727504103.0,90727504,907275041,9,9,19,2,Mujer,3.0,2,No tiene discapacidad,1,116.58333333333331,35.08333333333333,80.5,0.0,1.0,0.0,0.0,0.0,3782,1,1,1,0,1,0,0,0,1,116.58333333333331,0.0,0,0
90727504104.0,90727504,907275041,9,9,21,1,Hombre,3.0,2,No tiene discapacidad,1,43.0,0.0,43.0,0.0,0.0,0.0,66.0,0.0,3826,1,0,1,0,0,0,1,0,1,43.0,66.0,1,1
90671404102.0,90671404,906714041,9,9,46,2,Mujer,2.0,2,No tiene discapacidad,1,3.5,0.0,0.0,0.0,3.5,0.0,12.0,0.0,4594,1,0,0,0,1,0,1,0,1,3.5,12.0,1,1
90671404103.0,90671404,906714041,9,9,24,2,Mujer,4.0,2,No tiene discapacidad,1,0.83333333333333,0.0,0.0,0.0,0.83333333333333,0.0,44.0,0.0,4687,1,0,0,0,1,0,1,0,1,0.83333333333333,44.0,1,1
90671404105.0,90671404,906714041,9,9,16,1,Hombre,3.0,2,No tiene discapacidad,1,5.66666666666666,0.0,0.0,0.0,5.66666666666666,0.0,52.0,0.0,4699,1,0,0,0,1,0,1,0,1,5.66666666666666,52.0,1,1
90679301101.0,90679301,906793011,9,9,42,2,Mujer,3.0,2,No tiene discapacidad,5,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4639,1,0,0,0,1,0,0,0,1,14.0,0.0,0,0
